epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T15.05.41.011;1.930;-0.206;-0.151;1.359;190.549;78.232;25.427
1,73E+12;2024-09-28T15.05.41.021;1.940;-0.143;-0.183;1.365;217.317;48.780;20.305
1,73E+12;2024-09-28T15.05.41.031;1.950;-0.017;-0.144;1.236;226.768;49.634;1.524
1,73E+12;2024-09-28T15.05.41.041;1.960;-0.063;-0.085;1.120;230.122;57.927;-9.024
1,73E+12;2024-09-28T15.05.41.051;1.970;-0.195;-0.032;1.049;233.841;49.939;-9.878
1,73E+12;2024-09-28T15.05.41.061;1.980;-0.304;0.022;0.962;234.634;26.707;-15.610
1,73E+12;2024-09-28T15.05.41.071;1.990;-0.400;0.092;0.849;226.768;0.000;-15.732
1,73E+12;2024-09-28T15.05.41.081;2.000;-0.397;0.178;0.824;215.305;-25.915;-1.159
1,73E+12;2024-09-28T15.05.41.091;2.010;-0.287;0.246;0.887;203.293;-44.268;10.671
1,73E+12;2024-09-28T15.05.41.101;2.020;-0.201;0.261;0.959;192.622;-52.439;13.720
1,73E+12;2024-09-28T15.05.41.111;2.030;-0.104;0.273;1.058;185.732;-48.415;12.683
1,73E+12;2024-09-28T15.05.41.121;2.040;-0.010;0.333;1.176;178.963;-27.683;7.744
1,73E+12;2024-09-28T15.05.41.131;2.050;0.027;0.355;1.240;170.427;3.537;0.854
1,73E+12;2024-09-28T15.05.41.141;2.060;-0.028;0.353;1.277;160.427;31.402;-2.317
1,73E+12;2024-09-28T15.05.41.151;2.070;-0.113;0.375;1.302;151.159;41.585;-1.707
1,73E+12;2024-09-28T15.05.41.161;2.080;-0.189;0.424;1.305;140.427;29.573;-0.549
1,73E+12;2024-09-28T15.05.41.171;2.090;-0.270;0.454;1.307;126.463;-4.024;2.561
1,73E+12;2024-09-28T15.05.41.181;2.100;-0.317;0.478;1.368;113.293;-53.659;6.341
1,73E+12;2024-09-28T15.05.41.191;2.110;-0.281;0.508;1.471;102.866;-99.634;5.366
1,73E+12;2024-09-28T15.05.41.201;2.120;-0.141;0.524;1.570;90.915;-121.585;0.610
1,73E+12;2024-09-28T15.05.41.211;2.130;0.034;0.536;1.638;75.549;-114.512;-6.646
1,73E+12;2024-09-28T15.05.41.221;2.140;0.114;0.548;1.663;56.646;-86.829;-11.951
1,73E+12;2024-09-28T15.05.41.231;2.150;0.117;0.536;1.655;36.890;-57.439;-11.341
1,73E+12;2024-09-28T15.05.41.241;2.160;0.058;0.502;1.616;17.805;-37.683;-7.744
1,73E+12;2024-09-28T15.05.41.251;2.170;0.000;0.466;1.563;-0.427;-32.317;-4.634
1,73E+12;2024-09-28T15.05.41.261;2.180;-0.060;0.433;1.529;-15.793;-40.793;-1.707
1,73E+12;2024-09-28T15.05.41.271;2.190;-0.107;0.401;1.535;-26.220;-61.098;1.585
