epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T16.29.35.957;1.550;0.730;0.093;-0.995;-20.183;277.561;9.512
1,73E+12;2024-09-28T16.29.35.967;1.560;0.764;0.092;-0.987;-23.049;312.317;10.549
1,73E+12;2024-09-28T16.29.35.977;1.570;0.787;0.091;-0.990;-25.061;346.402;12.256
1,73E+12;2024-09-28T16.29.35.987;1.580;0.868;0.115;-0.903;-26.463;382.073;12.927
1,73E+12;2024-09-28T16.29.35.997;1.590;1.079;0.138;-0.800;-29.085;427.317;10.366
1,73E+12;2024-09-28T16.29.36.007;1.600;1.195;0.101;-0.835;-30.915;485.488;5.305
1,73E+12;2024-09-28T16.29.36.017;1.610;1.186;0.104;-0.830;-31.646;558.720;-0.915
1,73E+12;2024-09-28T16.29.36.027;1.620;1.209;0.132;-0.837;-34.878;641.707;0.488
1,73E+12;2024-09-28T16.29.36.037;1.630;1.201;0.158;-0.845;-39.390;726.281;13.293
1,73E+12;2024-09-28T16.29.36.047;1.640;1.161;0.176;-0.836;-46.768;806.707;36.524
1,73E+12;2024-09-28T16.29.36.057;1.650;1.084;0.196;-0.728;-57.988;867.683;64.878
1,73E+12;2024-09-28T16.29.36.067;1.660;1.017;0.214;-0.580;-73.354;901.890;88.476
1,73E+12;2024-09-28T16.29.36.077;1.670;0.950;0.177;-0.384;-87.439;908.902;100.671
1,73E+12;2024-09-28T16.29.36.087;1.680;0.865;0.106;-0.165;-95.122;898.354;102.866
1,73E+12;2024-09-28T16.29.36.097;1.690;0.740;0.007;0.044;-92.256;876.341;101.402
1,73E+12;2024-09-28T16.29.36.107;1.700;0.597;-0.064;0.234;-78.232;842.988;101.707
1,73E+12;2024-09-28T16.29.36.117;1.710;0.448;-0.089;0.388;-61.037;790.061;103.780
1,73E+12;2024-09-28T16.29.36.127;1.720;0.263;-0.119;0.519;-41.341;705.793;100.854
1,73E+12;2024-09-28T16.29.36.137;1.730;0.115;-0.111;0.647;-23.841;591.402;90.000
1,73E+12;2024-09-28T16.29.36.147;1.740;0.063;-0.089;0.753;-10.427;460.549;73.841
1,73E+12;2024-09-28T16.29.36.157;1.750;0.043;-0.108;0.811;0.976;332.622;55.915
1,73E+12;2024-09-28T16.29.36.167;1.760;0.045;-0.091;0.808;12.012;219.329;43.963
1,73E+12;2024-09-28T16.29.36.177;1.770;0.144;-0.064;0.790;17.988;131.951;36.585
1,73E+12;2024-09-28T16.29.36.187;1.780;0.251;-0.027;0.775;17.988;77.683;28.902
1,73E+12;2024-09-28T16.29.36.197;1.790;0.290;-0.016;0.753;12.195;59.024;20.976
1,73E+12;2024-09-28T16.29.36.207;1.800;0.226;-0.035;0.786;2.866;62.805;18.049
1,73E+12;2024-09-28T16.29.36.217;1.810;0.144;-0.054;0.838;-5.244;70.244;21.890
1,73E+12;2024-09-28T16.29.36.227;1.820;0.102;-0.088;0.888;-8.415;68.659;26.646
1,73E+12;2024-09-28T16.29.36.237;1.830;0.080;-0.109;0.932;-5.793;58.841;27.866
1,73E+12;2024-09-28T16.29.36.247;1.840;0.080;-0.123;0.957;0.976;48.354;27.195
1,73E+12;2024-09-28T16.29.36.257;1.850;0.044;-0.131;0.959;9.390;36.890;26.159
1,73E+12;2024-09-28T16.29.36.267;1.860;0.025;-0.120;0.968;17.561;22.683;23.659
1,73E+12;2024-09-28T16.29.36.277;1.870;0.052;-0.107;0.965;24.573;8.110;20.488
1,73E+12;2024-09-28T16.29.36.287;1.880;0.075;-0.089;0.954;29.329;-2.622;16.341
1,73E+12;2024-09-28T16.29.36.297;1.890;0.085;-0.062;0.946;30.671;-7.500;12.744
1,73E+12;2024-09-28T16.29.36.307;1.900;0.090;-0.054;0.944;28.293;-6.585;9.634
1,73E+12;2024-09-28T16.29.36.317;1.910;0.096;-0.040;0.951;23.598;-2.134;8.476
1,73E+12;2024-09-28T16.29.36.327;1.920;0.114;-0.041;0.969;18.537;5.854;8.110
1,73E+12;2024-09-28T16.29.36.337;1.930;0.115;-0.043;1.000;14.207;13.720;8.293
1,73E+12;2024-09-28T16.29.36.347;1.940;0.085;-0.049;1.027;12.561;15.305;7.744
1,73E+12;2024-09-28T16.29.36.357;1.950;0.068;-0.058;1.035;13.110;9.817;5.183
1,73E+12;2024-09-28T16.29.36.367;1.960;0.077;-0.061;1.040;14.390;1.890;2.805
1,73E+12;2024-09-28T16.29.36.377;1.970;0.091;-0.050;1.043;15.854;-6.220;1.402
1,73E+12;2024-09-28T16.29.36.387;1.980;0.102;-0.041;1.027;17.256;-14.329;-0.183
1,73E+12;2024-09-28T16.29.36.397;1.990;0.129;-0.027;1.007;17.317;-19.939;-2.073
1,73E+12;2024-09-28T16.29.36.407;2.000;0.186;-0.014;0.996;15.122;-17.805;-3.171
1,73E+12;2024-09-28T16.29.36.417;2.010;0.212;-0.010;1.002;10.549;-9.512;-3.720
1,73E+12;2024-09-28T16.29.36.427;2.020;0.177;-0.016;1.013;5.854;-2.012;-4.451
1,73E+12;2024-09-28T16.29.36.437;2.030;0.145;-0.028;1.017;2.866;-1.159;-4.817
1,73E+12;2024-09-28T16.29.36.447;2.040;0.132;-0.036;1.016;2.012;-7.439;-4.756
1,73E+12;2024-09-28T16.29.36.457;2.050;0.130;-0.042;1.018;2.744;-18.415;-4.329
1,73E+12;2024-09-28T16.29.36.467;2.060;0.156;-0.039;1.009;4.207;-29.634;-4.451
1,73E+12;2024-09-28T16.29.36.477;2.070;0.198;-0.034;1.002;5.061;-36.951;-5.122
1,73E+12;2024-09-28T16.29.36.487;2.080;0.222;-0.030;0.987;5.366;-38.720;-5.915
1,73E+12;2024-09-28T16.29.36.497;2.090;0.215;-0.030;0.965;4.878;-38.841;-6.159
1,73E+12;2024-09-28T16.29.36.507;2.100;0.195;-0.030;0.955;3.720;-43.049;-5.488
1,73E+12;2024-09-28T16.29.36.517;2.110;0.163;-0.033;0.953;2.805;-54.939;-4.756
1,73E+12;2024-09-28T16.29.36.527;2.120;0.108;-0.040;0.946;3.049;-78.720;-3.537
1,73E+12;2024-09-28T16.29.36.537;2.130;0.054;-0.047;0.936;5.305;-118.354;-1.951
1,73E+12;2024-09-28T16.29.36.547;2.140;0.026;-0.056;0.924;9.329;-173.902;-0.488
1,73E+12;2024-09-28T16.29.36.557;2.150;0.058;-0.059;0.917;16.159;-237.927;-0.427
1,73E+12;2024-09-28T16.29.36.567;2.160;0.128;-0.031;0.852;19.939;-304.756;-3.232
1,73E+12;2024-09-28T16.29.36.577;2.170;0.224;-0.004;0.787;25.122;-367.744;-7.683
1,73E+12;2024-09-28T16.29.36.587;2.180;0.376;-0.008;0.732;26.951;-408.415;-14.817
1,73E+12;2024-09-28T16.29.36.597;2.190;0.458;-0.020;0.682;22.744;-435.793;-15.366
1,73E+12;2024-09-28T16.29.36.607;2.200;0.450;-0.009;0.631;20.549;-470.427;-14.573
1,73E+12;2024-09-28T16.29.36.617;2.210;0.469;0.019;0.573;19.878;-516.463;-19.817
1,73E+12;2024-09-28T16.29.36.627;2.220;0.586;0.024;0.495;19.756;-565.000;-24.085
1,73E+12;2024-09-28T16.29.36.637;2.230;0.710;0.025;0.407;20.915;-609.024;-25.610
1,73E+12;2024-09-28T16.29.36.647;2.240;0.761;0.029;0.292;22.927;-648.659;-29.817
1,73E+12;2024-09-28T16.29.36.657;2.250;0.773;0.039;0.130;24.085;-688.110;-33.963
1,73E+12;2024-09-28T16.29.36.667;2.260;0.829;0.055;-0.057;24.207;-724.817;-34.817
1,73E+12;2024-09-28T16.29.36.677;2.270;0.950;0.101;-0.255;20.610;-747.683;-35.244
1,73E+12;2024-09-28T16.29.36.687;2.280;1.138;0.137;-0.387;13.415;-738.171;-39.756
1,73E+12;2024-09-28T16.29.36.697;2.290;1.278;0.106;-0.432;5.915;-687.988;-41.098
1,73E+12;2024-09-28T16.29.36.707;2.300;1.264;0.088;-0.470;2.317;-610.732;-33.537
1,73E+12;2024-09-28T16.29.36.717;2.310;1.125;0.083;-0.529;-0.061;-534.451;-22.073
1,73E+12;2024-09-28T16.29.36.727;2.320;0.937;0.084;-0.591;-2.256;-481.829;-14.085
1,73E+12;2024-09-28T16.29.36.737;2.330;0.793;0.097;-0.668;-3.659;-456.159;-8.293
1,73E+12;2024-09-28T16.29.36.747;2.340;0.704;0.094;-0.738;-5.976;-451.585;-1.951
1,73E+12;2024-09-28T16.29.36.757;2.350;0.633;0.106;-0.796;-8.780;-463.232;1.829
1,73E+12;2024-09-28T16.29.36.767;2.360;0.597;0.124;-0.874;-12.439;-481.646;0.610
